,type,year,trim,price,mileage,make,model
5709,new,2018,SXT Plus ,33330.0,0,Dodge,Challenger 
5710,new,2018,SXT ,28640.0,0,Dodge,Challenger 
5711,new,2018,R/T ,38825.0,0,Dodge,Challenger 
5712,new,2018,SXT ,30340.0,0,Dodge,Charger 
5713,new,2018,SXT Plus ,33805.0,0,Dodge,Challenger 
5714,new,2018,SRT Hellcat ,71380.0,0,Dodge,Challenger 
5715,new,2018,R/T ,38825.0,0,Dodge,Challenger 
5716,new,2018,SRT Hellcat ,71380.0,0,Dodge,Challenger 
5717,new,2018,SXT ,30090.0,0,Dodge,Charger 
5718,new,2018,SXT ,28640.0,0,Dodge,Challenger 
5719,certified,2018,Latitude ,19888.0,4100,Jeep,Compass 
5720,new,2018,SXT ,28640.0,0,Dodge,Challenger 
5721,certified,2018,SXT ,23313.0,4275,Dodge,Charger 
5722,new,2018,SXT ,31340.0,0,Dodge,Durango 
5723,new,2018,R/T Scat Pack ,42800.0,0,Dodge,Challenger 
5724,used,2017,SV ,20643.0,15367,Nissan,Frontier 
5725,new,2018,SXT ,31340.0,0,Dodge,Durango 
5726,certified,2018,L ,23965.0,2516,Chrysler,Pacifica 
5727,new,2018,GT ,40630.0,0,Dodge,Durango 
5728,new,2018,GT ,40980.0,0,Dodge,Durango 
5729,certified,2018,Sport ,17949.0,3016,Jeep,Compass 
5730,new,2018,SXT ,32335.0,0,Dodge,Durango 
5731,new,2018,R/T Scat Pack ,44205.0,0,Dodge,Challenger 
5732,new,2018,GT ,40980.0,0,Dodge,Durango 
5733,new,2018,SXT Plus ,33330.0,0,Dodge,Challenger 
5734,used,2015,S ,11990.0,76178,Chrysler,200 
5735,new,2018,R/T ,49625.0,0,Dodge,Durango 
5736,used,2014,Limited ,24990.0,51927,Jeep,Grand Cherokee 
5737,used,2012,Latitude ,10450.0,99617,Jeep,Compass 
5738,used,2014,SR5 ,27880.0,58982,Toyota,4Runner 
5739,certified,2018,Limited ,32777.0,21137,Jeep,Grand Cherokee 
5740,new,2018,SXT Plus ,35835.0,0,Dodge,Charger 
5741,new,2018,SXT ,28640.0,0,Dodge,Challenger 
5742,new,2018,SXT ,28640.0,0,Dodge,Challenger 
5743,new,2018,R/T ,38825.0,0,Dodge,Challenger 
5744,new,2018,R/T ,47080.0,0,Dodge,Durango 
5745,new,2018,SXT ,31340.0,0,Dodge,Durango 
5746,new,2018,R/T Scat Pack ,42800.0,0,Dodge,Challenger 
5747,new,2018,R/T ,38825.0,0,Dodge,Challenger 
5748,new,2018,SXT Plus ,33330.0,0,Dodge,Challenger 
5749,new,2018,SXT ,28640.0,0,Dodge,Challenger 
5750,new,2018,SXT Plus ,33855.0,0,Dodge,Challenger 
